id;Brand;Model
1;JEEP;CHEROKEE
3;FORD;FIGO
5;AUDI;A1
6;AUDI;A3
10;CHEVROLET;AVEO
11;CHEVROLET;CAMARO
12;CHEVROLET;CAVALIER
13;CHEVROLET;CHEYENNE
15;CHRYSLER;300
19;FIAT;500
20;FORD;EXPLORER
21;FORD;EXPEDITION
22;FORD;F150
23;FORD;F250
24;FORD;FOCUS
27;GMC;YUKON
28;HONDA;ACCORD
29;HONDA;CIVIC
30;JEEP;GRAND CHEROKEE
31;JEEP;WRANGLER
33;KIA;RIO
37;LINCOLN;MKC
39;MAZDA;CX-3
40;MAZDA;CX-5
42;MERCEDES BENZ;CLASE C
44;NISSAN;ALTIMA
46;NISSAN;SENTRA
47;NISSAN;VERSA
48;PEUGEOT;301
49;PEUGEOT;208
53;SEAT;IBIZA
54;SEAT;LEON
56;TOYOTA;CAMRY
57;TOYOTA;COROLLA
58;TOYOTA;PRIUS
59;TOYOTA;TACOMA
60;TOYOTA;TUNDRA
64;AUDI;OTRO
66;BMW;OTRO
68;CHEVROLET;OTRO
69;CHRYSLER;OTRO
70;DODGE;OTRO
72;FIAT;OTRO
73;FORD;OTRO
74;GMC;OTRO
75;HONDA;OTRO
76;JEEP;OTRO
77;KIA;OTRO
82;MAZDA;OTRO
83;MERCEDES BENZ;OTRO
85;NISSAN;OTRO
90;SUBARU;OTRO
91;TOYOTA;OTRO
92;OTRO;OTRO
103;CHEVROLET;SPARK
104;MAZDA;3
105;BMW;X5
106;TOYOTA;YARIS
107;CHEVROLET;BEAT
109;NISSAN;APRIO
110;BMW;X4
112;SUZUKI;SWIFT
113;HYUNDAI;GRAND I10
114;RENAULT;KANGOO
116;MAZDA;2
117;KIA;FORTE
119;VOLKSWAGEN;TIGUAN
120;VOLKSWAGEN;GOLF
121;TOYOTA;SIENNA
122;TOYOTA;HIACE
123;DODGE;RAM
124;KIA;SPORTAGE
125;VOLKSWAGEN;JETTA
129;NISSAN;MARCH
130;FORD;FIESTA
131;VOLKSWAGEN;VENTO
132;CHEVROLET;CRUZE
133;NISSAN;JUKE
134;CHEVROLET;S10
135;RENAULT;DUSTER
136;VOLKSWAGEN;GOL
137;DODGE;ATTITUDE
139;BUICK;OTRO
140;NISSAN;MURANO
142;CHEVROLET;MALIBÚ
143;CHEVROLET;CHEVY
146;HONDA;CRV
147;NISSAN;FRONTIER
149;RENAULT;CLIO
150;DODGE;DURANGO
151;HONDA;FIT
152;NISSAN;PATHFINDER
153;VOLKSWAGEN;OTRO
154;ITALIKA;OTRO
156;YAMAHA;OTRO
157;VOLKSWAGEN;PASSAT
162;HYUNDAI;OTRO
163;RENAULT;OTRO
168;ECONDUCE;MOTO
169;VOLKSWAGEN;POINTER
171;SUZUKI;VITARA
172;SUZUKI;OTRO
174;KEEWAY;OTRO
175;VOLVO;OTRO
180;VOLKSWAGEN;BEETLE
182;NISSAN;TSURU
185;CHEVROLET;SONIC
187;FORD;RANGER
188;MITSUBISHI;OTRO
190;NISSAN;NOTE
192;HONDA;HRV
196;VOLKSWAGEN;BORA
197;CHEVROLET;TORNADO
198;PEUGEOT;206
199;CHEVROLET;ASTRA
201;VOLKSWAGEN;UP
202;HYUNDAI;CRETA
203;NISSAN;ROGUE
206;ISUZU;OTRO
209;AUDI;Q5
210;CHEVROLET;EQUINOX
211;NISSAN;PLATINA
212;MITSUBISHI;LANCER
213;PONTIAC;OTRO
214;FORD;ESCAPE
218;SUZUKI;ERTIGA
219;VOLKSWAGEN;POLO
220;JEEP;LIBERTY
221;CHEVROLET;CAPTIVA
225;FREIGHTLINER;OTRO
227;CHEVROLET;SUBURBAN
228;MERCEDES BENZ;GLA 200
231;HONDA;ODYSSEY
232;FORD;KA
236;MAZDA;CX7
238;KENWORTH;OTRO
245;DODGE;STRATUS
246;MERCEDES BENZ;C180
247;ITALIKA;125Z
248;MAZDA;6
249;SEAT;TOLEDO
252;HONDA;CITY
254;HYUNDAI;ACCENT
255;SUZUKI;CIAZ
258;DODGE;JOURNEY
260;BMW;X1
261;CHRYSLER;VOYAGER
262;MITSUBISHI;MIRAGE
265;RENAULT;KOLEOS
267;KIA;SOUL
268;FORD;EDGE
270;DODGE;AVENGER
272;ITALIKA;WS150
273;FORD;F350
279;HONDA;PILOT
280;CHEVROLET;TRAX
284;CHEVROLET;CORSA
285;BMW;320I
286;DODGE;NEON
287;CHEVROLET;OPTRA
288;TOYOTA;HIGHLANDER
289;CHEVROLET;MATIZ
291;FORD;TRANSIT
295;NISSAN;NP300
299;TOYOTA;AVANZA
304;TOYOTA;HILUX
305;RENAULT;FLUENCE
307;SUZUKI;S-CROSS
309;PONTIAC;MATIZ
312;HONDA;150
317;SUZUKI;IGNIS
321;MERCEDES BENZ;A180
322;HYUNDAI;I10
324;JEEP;COMPASS
326;JEEP;PATRIOT
328;RENAULT;SANDERO
332;RENAULT;LOGAN
334;RENAULT;SCALA
337;SEAT;ARONA
