Id;Color;IdVehicleCatalog
003C159231B148C3AC7BBA9C28907513;BLANCO;291
003C63D14100472D932F41E55425A320;SILVER-GRAY;10
007767541D3A424C8FDC8F667D824728;GRIS;1769
0077AE30A35A46F7828FCE6A9FB0D426;NEGRO;157
00990610679A4B8B836AEB9022082CCC;GOLD-BEIGE;211
009E31069B6E45B8B0DA0A06699D482C;NARANJA;107
00E3B2B6DE124F0D8DABDC88AAE120FD;GRIS;151
00EB82B1C7FF411AB5134DC1AF0D45BE;GRIS;3862
00EC097F55D249C2A7C013D253F0353D;GRIS;10
010F3FE77230452FBDCF1FD44705C49C;AZUL;168
011118F611E84A138E4EA9B2BEF335F3;PLATA;289
012660C1713E46E8ACFBC72E4794B50F;PLATA;197
014874B312C24B24893537EFE659EC02;BLANCO;2028
01506486-6c91-4920-942e-91245ae17546;AZUL;153
017D6D751CCA446ABB57CCF724EA1EA1;GRIS;146
018FC67C3D094D22878B217494BF0E3E;ROJO;154
019D0ABCB8044548860A07521B181F36;AZUL;107
01AF61B70B6A4D43B478FFABA334AA86;PLATA;10
01C55339DC8D4C198F18369F76485545;BLUE;12
01D21D3C56CD4E5A9DAB183C054E0B48;BLANCA;20
01ec4745-7952-44dc-b316-4ab2a7036355;ARENA;131
01FA5ABED3754467A63701DE892F6EA8;BLANCO;143
020CFD7614B84E5AAC8BDA6F738F6012;BLUE;2700
021CA820F9EC49B0B74B4A713D508261;BLANCO;73
0222DCB6C1DF403882ED2209941DC614;BLACK;3301
0226FF5C4E41429096E2731F7C42A101;SILVER-GRAY;185
025D46DDF92B4707951D77265F6A6DCA;PLATA;4672
0271E3CC833D4423A96418B2B3BAA078;BLANCO;47
027DDC892E394F958BA38F44377CE0C4;WHITE;10
02A0C521B39B417B90A4F4F0933EB44C;BLANCO;168
02A238E7919C44A4B288CDFE4142B576;WHITE;529
02BEA8C32AA54623A5F1C1EE3B2617BA;GRIS;135
02D2A175AD8940CDA06CE4AA2DDC52FF;GRIS;286
02DB6699B74D494187E46335E60CA342;AZUL;2587
030116CC4C364E0E9EF2036BFC34E1A5;BLUE;219
0342681733E0429BB9CD70242B7BEDE5;WHITE;10
034860467C4840149A7B90953CD19D77;BLANCO;4702
0359D6073F4D4A679753B060E3493BD0;AZUL;47
0361C39D2A37412D949A984AC1C977B3;ROJO;156
03735FC4C2814B60BECDB5B66AA5C6F9;BLANCO;10
037FBF3C1F6C41F7A5BDF1C031225A90;GRIS;1566
03974b93-40fd-4b95-9f4e-c820e6d6e58e;ROJO;130
039A6B9545724F0DAF2F17B9EDC66BC0;BLANCO;85
039DE82CC350465BACFA2B5B8CF336D3;GRIS;53
03A3FF4E46A34851890B9957CED3B55B;BLANCO;85
03b51cf8-0425-455b-b662-a73c160a3d57;NEGRO;196
03BD0C86C47A47FAB3159ED3BBCB1131;NEGRA CON VERDE;4649
03cefb6a-80c2-43f7-820b-8947598c7685;NEGRO;112
03D05F808C7C4A5989E18B4F93966D29;BLANCO;40
03E93D0454D24797BE2746C56B333FAA;ROJO;3733
040D9FB19EDE44B48E26B79902AEF4B1;AZUL;1750
041CA3CF5ACF4D2292E4F1AF618A6854;RED;2086
0423FFD56B484762B136B9A786E12A6B;GRIS;58
04260B5BBCDE4DDEBBC4409039EAA30A;GRIS;287
043FB30D7F1F4AEFAB7D92E8C274EF2A;GRIS;119
04416a91-ab18-4fa9-9523-328da4d4f429;GRIS;2352
0467146FBA964E62901CE0654C2CBDCB;PLATA;58
047CDB1D63704C5E850C905550C38ACE;GRIS;1775
0481B8EFF9034071B286D940F2861557;ROJO;47
04ABB91693F3432FBDCEC74958A05452;GRIS;136
04CD6C9EDF114E65937BEC375BA55457;WHITE;209
04CEC7122C4447E393E4351E1746FE57;BLANCO;124
04f0697f-820e-477f-894b-a7fe60f6c1f3;NARANJA;317
04F399FD14074B09B1F6933BCEC48D47;GRIS;214
052CEDAE066241D3AAB34EF272501A6F;WHITE/ROSA;182
053E32CA1E4A4B319A77D688C664EAC4;ROJO;131
05535e0d-b74f-4692-923c-a81875b5535f;GRIS;267
0556DEEE4BF34A5B8C2011E3994C71A4;NEGRA;123
057C1D309AC047B480AF5CA06CAA397B;BLANCO;353
059F0FB8A16A49B5B2A1CF7E6CF5C46E;BLANCO;124
05A8C627D724473F9E467CE47A9857D0;BLANCO;46
05B78F1F3A7E4FC18790A1901461A80C;NEGRO;393
05C2CD2A832343E28B1CC680DD72331F;BLANCO;3865
05CBD708E8EC4BA98EA5D783487023AB;BLANCO;46
064DD9E2204B414FB38FB680BD011021;PLATA;305
065277982405410B8CB2D4FE7069C098;PLATA;299
06622CFEC1464F5DAF19147018E4BD22;SILVER-GRAY;4343
069E9BA1343E453E86555442B09FC41F;GRIS;4279
06B685C44A254D76A76196B63DB553B7;AZUL;1113
06C34A7EB910492083F1F3A839E5E534;BLANCO;4170
06F38537A41343BB815E53F2F27C43AE;AZUL;211
072CC769899A4CA0BC303E2E057899ED;NEGRO;185
074546A5D6C24C16A71C08F512EDD517;WHITE;85
075F062158104C83B814E0ADFD68CD5F;NEGRO;136
07725c98-e8de-4448-81c2-7021849e57d0;BLANCO;249
0779D4C1474D42B2A9D27FCF871849DC;PLATA;125
07A98C932A1B4927BC095F0742B5EADA;BLANCO;85
07c0e772-a24b-43be-a40a-615f68a1a3a1;ROJO;3
07C82DA14C844102AAEEBC5A7732DF3F;WHITE;72
07D5BE978D0B45EA9A9C8C91DDBFB1A7;WHITE;47
07D684361C7043C8A7649F7B9AB0ACD8;WHITE;182
07FA45057A3F4C29AD18A344CAF940A6;ROJO;33
08165B92BC894868ADCD6A35A24FE8C2;BLANCO;258
0869C0CE38B247598ADE03E364CBD554;VINO;47
087AED105C7C4F44B525D01D3E9DF336;AZUL;1750
088452239D304E53ACBE6B5EE9A90677;BLANCO;129
0885948D0F134FCB9337F3AD01B8D831;SILVER-GRAY;57
